model,full_exp,total_acc,vs_baseline_acc,vs_distractor_acc
grnn,loc_himself,1.0,1.0,1.0
grnn,loc_herself,0.9733333333333334,1.0,0.9733333333333334
grnn,loc_pl,1.0,1.0,1.0
grnn,cc_himself,0.6533333333333333,1.0,0.6533333333333333
grnn,cc_herself,0.8133333333333334,0.9866666666666667,0.8266666666666667
grnn,cc_pl,0.7866666666666666,1.0,0.7866666666666666
grnn,rc_himself,0.13333333333333333,1.0,0.13333333333333333
grnn,rc_herself,0.37333333333333335,1.0,0.37333333333333335
grnn,rc_pl,0.76,1.0,0.76
grnn,ml_himself,1.0,1.0,1.0
grnn,ml_herself,1.0,1.0,1.0
grnn,ml_pl,1.0,1.0,1.0
grnn,ml_rc_himself,0.5714285714285714,1.0,0.5714285714285714
grnn,ml_rc_herself,0.8857142857142857,1.0,0.8857142857142857
grnn,ml_rc_pl,0.6428571428571429,1.0,0.6428571428571429
