model,full_exp,total_acc,vs_baseline_acc,vs_distractor_acc
grnn_multi,loc_himself,1.0,1.0,1.0
grnn_multi,loc_herself,1.0,1.0,1.0
grnn_multi,loc_pl,1.0,1.0,1.0
grnn,loc_himself,1.0,1.0,1.0
grnn,loc_herself,0.9733333333333334,1.0,0.9733333333333334
grnn,loc_pl,1.0,1.0,1.0
jrnn,loc_himself,1.0,1.0,1.0
jrnn,loc_herself,0.9733333333333334,0.9866666666666667,0.9866666666666667
jrnn,loc_pl,0.9333333333333333,1.0,0.9333333333333333
trans,loc_himself,0.9866666666666667,0.9866666666666667,0.9866666666666667
trans,loc_herself,0.8266666666666667,1.0,0.8266666666666667
trans,loc_pl,1.0,1.0,1.0
rnng,loc_himself,1.0,1.0,1.0
rnng,loc_herself,0.9866666666666667,1.0,0.9866666666666667
rnng,loc_pl,0.7066666666666667,0.8666666666666667,0.7066666666666667
tiny,loc_himself,0.9333333333333333,0.9733333333333334,0.9333333333333333
tiny,loc_herself,0.49333333333333335,0.52,0.6933333333333334
tiny,loc_pl,0.9866666666666667,0.9866666666666667,0.9866666666666667
tinywiki,loc_himself,1.0,1.0,1.0
tinywiki,loc_herself,1.0,1.0,1.0
tinywiki,loc_pl,1.0,1.0,1.0
5gram,loc_himself,0.36,0.08,0.08
5gram,loc_herself,0.29333333333333333,0.05333333333333334,0.05333333333333334
5gram,loc_pl,0.38666666666666666,0.21333333333333335,0.21333333333333335
bert,loc_himself,1.0,1.0,1.0
bert,loc_herself,0.9333333333333333,0.9333333333333333,0.9466666666666667
bert,loc_pl,1.0,1.0,1.0
