full_exp,model,total_acc,vs_baseline_acc,vs_distractor_acc
ml_himself,grnn_multi,1.0,1.0,1.0
ml_herself,grnn_multi,1.0,1.0,1.0
ml_pl,grnn_multi,1.0,1.0,1.0
ml_himself,grnn,1.0,1.0,1.0
ml_herself,grnn,1.0,1.0,1.0
ml_pl,grnn,1.0,1.0,1.0
ml_himself,jrnn,1.0,1.0,1.0
ml_herself,jrnn,1.0,1.0,1.0
ml_pl,jrnn,0.8857142857142857,1.0,0.8857142857142857
ml_himself,trans,0.8857142857142857,1.0,0.8857142857142857
ml_herself,trans,0.8571428571428571,0.9857142857142858,0.8571428571428571
ml_pl,trans,1.0,1.0,1.0
ml_himself,5gram,0.44285714285714284,0.0,0.0
ml_herself,5gram,0.2857142857142857,0.0,0.0
ml_pl,5gram,0.45714285714285713,0.0,0.0
ml_himself,bert,1.0,1.0,1.0
ml_herself,bert,1.0,1.0,1.0
ml_pl,bert,0.8571428571428571,1.0,0.8571428571428571
