full_exp,model,total_acc,vs_baseline_acc,vs_distractor_acc
rc_himself,grnn_multi,0.013333333333333334,0.9733333333333334,0.013333333333333334
rc_herself,grnn_multi,0.0,0.6,0.0
rc_pl,grnn_multi,0.0,1.0,0.0
rc_himself,grnn,0.13333333333333333,1.0,0.13333333333333333
rc_herself,grnn,0.37333333333333335,1.0,0.37333333333333335
rc_pl,grnn,0.76,1.0,0.76
rc_himself,jrnn,0.8,1.0,0.8
rc_herself,jrnn,0.3333333333333333,1.0,0.3333333333333333
rc_pl,jrnn,0.8666666666666667,1.0,0.8666666666666667
rc_himself,trans,0.30666666666666664,0.5733333333333334,0.3333333333333333
rc_herself,trans,0.7866666666666666,1.0,0.7866666666666666
rc_pl,trans,1.0,1.0,1.0
rc_himself,rnng,0.12,0.8,0.12
rc_herself,rnng,0.0,0.7733333333333333,0.0
rc_pl,rnng,0.6,1.0,0.6
rc_himself,tiny,0.14666666666666667,1.0,0.14666666666666667
rc_herself,tiny,0.21333333333333335,0.41333333333333333,0.29333333333333333
rc_pl,tiny,0.04,1.0,0.04
rc_himself,5gram,0.30666666666666664,0.0,0.0
rc_herself,5gram,0.3466666666666667,0.0,0.0
rc_pl,5gram,0.28,0.0,0.0
rc_himself,bert,0.6533333333333333,0.8933333333333333,0.6533333333333333
rc_herself,bert,0.52,0.76,0.5466666666666666
rc_pl,bert,0.9333333333333333,1.0,0.9333333333333333
