exp,model,pronoun,total_acc,vs_baseline_acc,vs_distractor_acc
exp2-rc,bert,themselves,0.9333333333333333,1.0,0.9333333333333333
exp2-rc,bert,himself,0.6533333333333333,0.8933333333333333,0.6533333333333333
exp2-rc,bert,herself,0.52,0.76,0.5466666666666666
exp2-rc,trans,themselves,1.0,1.0,1.0
exp2-rc,trans,himself,0.30666666666666664,0.5733333333333334,0.3333333333333333
exp2-rc,trans,herself,0.7866666666666666,1.0,0.7866666666666666
exp2-rc,jrnn,themselves,0.8666666666666667,1.0,0.8666666666666667
exp2-rc,jrnn,himself,0.8,1.0,0.8
exp2-rc,jrnn,herself,0.3333333333333333,1.0,0.3333333333333333
exp2-rc,grnn,themselves,0.76,1.0,0.76
exp2-rc,grnn,himself,0.13333333333333333,1.0,0.13333333333333333
exp2-rc,grnn,herself,0.37333333333333335,1.0,0.37333333333333335
exp2-rc,5gram,themselves,0.37333333333333335,0.0,0.0
exp2-rc,5gram,himself,0.30666666666666664,0.0,0.0
exp2-rc,5gram,herself,0.3466666666666667,0.0,0.0
exp2-rc,tiny,themselves,0.04,1.0,0.04
exp2-rc,tiny,himself,0.14666666666666667,1.0,0.14666666666666667
exp2-rc,tiny,herself,0.21333333333333335,0.41333333333333333,0.29333333333333333
exp2-rc,rnng,themselves,0.6,1.0,0.6
exp2-rc,rnng,himself,0.12,0.8,0.12
exp2-rc,rnng,herself,0.0,0.7733333333333333,0.0
