exp,model,pronoun,total_acc,vs_baseline_acc,vs_distractor_acc
exp3-comp,bert,themselves,1.0,1.0,1.0
exp3-comp,bert,himself,1.0,1.0,1.0
exp3-comp,bert,herself,0.9333333333333333,0.9333333333333333,0.9466666666666667
exp3-comp,trans,themselves,1.0,1.0,1.0
exp3-comp,trans,himself,0.9866666666666667,0.9866666666666667,0.9866666666666667
exp3-comp,trans,herself,0.8266666666666667,1.0,0.8266666666666667
exp3-comp,jrnn,themselves,0.9333333333333333,1.0,0.9333333333333333
exp3-comp,jrnn,himself,1.0,1.0,1.0
exp3-comp,jrnn,herself,0.9733333333333334,0.9866666666666667,0.9866666666666667
exp3-comp,grnn,themselves,1.0,1.0,1.0
exp3-comp,grnn,himself,1.0,1.0,1.0
exp3-comp,grnn,herself,0.9733333333333334,1.0,0.9733333333333334
exp3-comp,5gram,themselves,0.4266666666666667,0.21333333333333335,0.21333333333333335
exp3-comp,5gram,himself,0.36,0.08,0.08
exp3-comp,5gram,herself,0.21333333333333335,0.05333333333333334,0.05333333333333334
exp3-comp,tiny,themselves,0.9866666666666667,0.9866666666666667,0.9866666666666667
exp3-comp,tiny,himself,0.9333333333333333,0.9733333333333334,0.9333333333333333
exp3-comp,tiny,herself,0.49333333333333335,0.52,0.6933333333333334
exp3-comp,rnng,themselves,0.7066666666666667,0.8666666666666667,0.7066666666666667
exp3-comp,rnng,himself,1.0,1.0,1.0
exp3-comp,rnng,herself,0.9866666666666667,1.0,0.9866666666666667
