word sentid sentpos wlen surp entropy

The 0 0 3 2.306039810180664 3.3416643142700195
mechanics 0 1 9 10.808030128479004 7.817210674285889
that 0 2 4 4.755199432373047 3.304558753967285
the 0 3 3 2.664923667907715 6.831216812133789
authors 0 4 7 7.131267547607422 8.042903900146484
liked 0 5 5 7.430957794189453 5.210790634155273
hurt 0 6 4 14.313692092895508 3.616021156311035
themselves 0 7 10 6.474477767944336 5.060510158538818
. 0 8 1 1.7427005767822266 3.722198963165283
The 1 0 3 2.306039810180664 3.3416643142700195
authors 1 1 7 8.023263931274414 7.817210674285889
that 1 2 4 5.69645881652832 5.306082248687744
the 1 3 3 3.0618600845336914 6.626142501831055
mechanics 1 4 9 10.434385299682617 7.815946578979492
liked 1 5 5 11.184310913085938 2.3443078994750977
hurt 1 6 4 14.740093231201172 4.299158096313477
themselves 1 7 10 6.275181770324707 4.7223005294799805
. 1 8 1 1.696462631225586 3.1167123317718506
The 2 0 3 2.306039810180664 3.3416643142700195
bankers 2 1 7 11.87026596069336 7.817210674285889
that 2 2 4 5.172647476196289 5.360554218292236
the 2 3 3 2.798100471496582 6.285181999206543
authors 2 4 7 7.890336990356445 7.567193508148193
liked 2 5 5 6.896756172180176 5.015133857727051
hurt 2 6 4 13.672102928161621 3.6912765502929688
themselves 2 7 10 6.585019111633301 4.952244758605957
. 2 8 1 1.9376726150512695 3.790435314178467
The 3 0 3 2.306039810180664 3.3416643142700195
authors 3 1 7 8.023263931274414 7.817210674285889
that 3 2 4 5.69645881652832 5.306082248687744
the 3 3 3 3.0618600845336914 6.626142501831055
bankers 3 4 7 11.02866268157959 7.815946578979492
liked 3 5 5 6.793084144592285 4.926299095153809
hurt 3 6 4 14.483457565307617 3.699591636657715
themselves 3 7 10 6.284966468811035 4.55464506149292
. 3 8 1 1.742767333984375 3.2085087299346924
The 4 0 3 2.306039810180664 3.3416643142700195
mechanics 4 1 9 10.808030128479004 7.817210674285889
that 4 2 4 4.755199432373047 3.304558753967285
the 4 3 3 2.664923667907715 6.831216812133789
author 4 4 6 6.633945465087891 8.042903900146484
liked 4 5 5 7.327563285827637 5.218968868255615
hurt 4 6 4 14.351238250732422 3.572976589202881
themselves 4 7 10 8.187309265136719 4.718307971954346
. 4 8 1 1.8247861862182617 3.720806360244751
The 5 0 3 2.306039810180664 3.3416643142700195
authors 5 1 7 8.023263931274414 7.817210674285889
that 5 2 4 5.69645881652832 5.306082248687744
the 5 3 3 3.0618600845336914 6.626142501831055
mechanic 5 4 8 12.738800048828125 7.815946578979492
liked 5 5 5 7.363816261291504 5.084046840667725
hurt 5 6 4 13.053445816040039 3.7919397354125977
themselves 5 7 10 8.434663772583008 4.421349048614502
. 5 8 1 1.7051448822021484 3.1981468200683594
The 6 0 3 2.306039810180664 3.3416643142700195
bankers 6 1 7 11.87026596069336 7.817210674285889
that 6 2 4 5.172647476196289 5.360554218292236
the 6 3 3 2.798100471496582 6.285181999206543
author 6 4 6 7.918493270874023 7.567193508148193
liked 6 5 5 6.85097599029541 4.817456245422363
hurt 6 6 4 13.353971481323242 3.5955138206481934
themselves 6 7 10 7.851998805999756 4.71229887008667
. 6 8 1 1.9906539916992188 3.724222183227539
The 7 0 3 2.306039810180664 3.3416643142700195
authors 7 1 7 8.023263931274414 7.817210674285889
that 7 2 4 5.69645881652832 5.306082248687744
the 7 3 3 3.0618600845336914 6.626142501831055
banker 7 4 6 11.120292663574219 7.815946578979492
liked 7 5 5 7.094514846801758 5.090475082397461
hurt 7 6 4 13.882855415344238 3.8231759071350098
themselves 7 7 10 8.286205291748047 4.397484302520752
. 7 8 1 1.6311187744140625 3.1391377449035645
The 8 0 3 2.306039810180664 3.3416643142700195
mechanic 8 1 8 12.364774703979492 7.817210674285889
that 8 2 4 6.517258644104004 5.344597816467285
the 8 3 3 3.3700571060180664 6.347227573394775
authors 8 4 7 8.604165077209473 7.6348981857299805
liked 8 5 5 6.787619590759277 5.434446334838867
hurt 8 6 4 14.236122131347656 3.359199047088623
themselves 8 7 10 7.031225204467773 4.7307538986206055
. 8 8 1 1.9647588729858398 3.3293919563293457
The 9 0 3 2.306039810180664 3.3416643142700195
