word sentid sentpos wlen surp entropy

The 0 0 3 2.306039810180664 3.3416643142700195
boy 0 1 3 8.590314865112305 7.817210674285889
that 0 2 4 6.447863578796387 5.132258415222168
the 0 3 3 4.056417465209961 6.157556533813477
father 0 4 6 6.085858345031738 7.667795658111572
liked 0 5 5 7.060321807861328 4.841884136199951
saw 0 6 3 8.611562728881836 3.5062310695648193
himself 0 7 7 6.268197059631348 4.071866035461426
. 0 8 1 3.232471466064453 3.859527587890625
The 1 0 3 2.306039810180664 3.3416643142700195
father 1 1 6 8.697731018066406 7.817210674285889
that 1 2 4 7.384453773498535 3.897420883178711
the 1 3 3 2.923765182495117 6.056509017944336
boy 1 4 3 5.781079292297363 7.77524471282959
liked 1 5 5 7.204607009887695 4.710789680480957
saw 1 6 3 9.73714828491211 3.585390329360962
himself 1 7 7 5.463878631591797 4.3111162185668945
. 1 8 1 2.263338088989258 4.086374759674072
The 2 0 3 2.306039810180664 3.3416643142700195
boys 2 1 4 8.241280555725098 7.817210674285889
that 2 2 4 7.074023246765137 4.65129280090332
the 2 3 3 3.1424474716186523 6.321168422698975
father 2 4 6 6.970024108886719 7.768738269805908
liked 2 5 5 7.650687217712402 4.715847969055176
saw 2 6 3 8.912452697753906 3.6306374073028564
himself 2 7 7 6.33868408203125 4.389463901519775
. 2 8 1 2.682252883911133 4.676475524902344
The 3 0 3 2.306039810180664 3.3416643142700195
fathers 3 1 7 12.180408477783203 7.817210674285889
that 3 2 4 5.831064224243164 4.553546905517578
the 3 3 3 2.9086532592773438 6.192134380340576
boy 3 4 3 5.386598587036133 7.674856185913086
liked 3 5 5 6.914521217346191 4.874082565307617
saw 3 6 3 8.834863662719727 3.4835402965545654
himself 3 7 7 6.026098251342773 4.592816352844238
. 3 8 1 3.5092697143554688 4.63356876373291
The 4 0 3 2.306039810180664 3.3416643142700195
boy 4 1 3 8.590314865112305 7.817210674285889
that 4 2 4 6.447863578796387 5.132258415222168
the 4 3 3 4.056417465209961 6.157556533813477
fathers 4 4 7 10.01197624206543 7.667795658111572
liked 4 5 5 7.83145809173584 5.221731185913086
saw 4 6 3 8.505241394042969 3.383307456970215
himself 4 7 7 7.287684440612793 3.9403724670410156
. 4 8 1 3.5347671508789062 3.6741373538970947
The 5 0 3 2.306039810180664 3.3416643142700195
father 5 1 6 8.697731018066406 7.817210674285889
that 5 2 4 7.384453773498535 3.897420883178711
the 5 3 3 2.923765182495117 6.056509017944336
boys 5 4 4 7.1102447509765625 7.77524471282959
liked 5 5 5 7.728772163391113 4.957338333129883
saw 5 6 3 10.407455444335938 3.882666826248169
himself 5 7 7 7.137752056121826 4.72922420501709
. 5 8 1 2.3207530975341797 3.907135009765625
The 6 0 3 2.306039810180664 3.3416643142700195
boy 6 1 3 8.590314865112305 7.817210674285889
that 6 2 4 6.447863578796387 5.132258415222168
the 6 3 3 4.056417465209961 6.157556533813477
father 6 4 6 6.085858345031738 7.667795658111572
liked 6 5 5 7.060321807861328 4.841884136199951
established 6 6 11 12.874156951904297 3.5062310695648193
himself 6 7 7 4.566798210144043 4.320716857910156
. 6 8 1 2.4697208404541016 3.5793561935424805
The 7 0 3 2.306039810180664 3.3416643142700195
father 7 1 6 8.697731018066406 7.817210674285889
that 7 2 4 7.384453773498535 3.897420883178711
the 7 3 3 2.923765182495117 6.056509017944336
boy 7 4 3 5.781079292297363 7.77524471282959
liked 7 5 5 7.204607009887695 4.710789680480957
established 7 6 11 12.825828552246094 3.585390329360962
himself 7 7 7 3.9891586303710938 4.712449073791504
. 7 8 1 1.8815956115722656 3.078829765319824
The 8 0 3 2.306039810180664 3.3416643142700195
boys 8 1 4 8.241280555725098 7.817210674285889
that 8 2 4 7.074023246765137 4.65129280090332
the 8 3 3 3.1424474716186523 6.321168422698975
father 8 4 6 6.970024108886719 7.768738269805908
liked 8 5 5 7.650687217712402 4.715847969055176
established 8 6 11 12.796605110168457 3.6306374073028564
himself 8 7 7 4.707833290100098 4.770966053009033
. 8 8 1 2.008922576904297 3.4945220947265625
The 9 0 3 2.306039810180664 3.3416643142700195
fathers 9 1 7 12.180408477783203 7.817210674285889
