item,clause_type,locality,grammatical,counterbalance,subject,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos
1,embed,local,1,a,male,none,none,boys,fathers,saw,themselves,The boys said that the fathers saw themselves . <eos>,The boys said that the fathers saw themselves .
1,embed,local,1,b,male,none,none,fathers,boys,saw,themselves,The fathers said that the boys saw themselves . <eos>,The fathers said that the boys saw themselves .
1,embed,local,1,a,female,none,none,girls,mothers,saw,themselves,The girls said that the mothers saw themselves . <eos>,The girls said that the mothers saw themselves .
1,embed,local,1,b,female,none,none,mothers,girls,saw,themselves,The mothers said that the girls saw themselves . <eos>,The mothers said that the girls saw themselves .
1,embed,local,1,a,male,nonlocal_subj,number,boy,fathers,saw,themselves,The boy said that the fathers saw themselves . <eos>,The boy said that the fathers saw themselves .
1,embed,local,1,b,male,nonlocal_subj,number,father,boys,saw,themselves,The father said that the boys saw themselves . <eos>,The father said that the boys saw themselves .
1,embed,local,1,a,female,nonlocal_subj,number,girl,mothers,saw,themselves,The girl said that the mothers saw themselves . <eos>,The girl said that the mothers saw themselves .
1,embed,local,1,b,female,nonlocal_subj,number,mother,girls,saw,themselves,The mother said that the girls saw themselves . <eos>,The mother said that the girls saw themselves .
1,embed,nonlocal,0,a,male,local_subj,number,boys,father,saw,themselves,The boys said that the father saw themselves . <eos>,The boys said that the father saw themselves .
1,embed,nonlocal,0,b,male,local_subj,number,fathers,boy,saw,themselves,The fathers said that the boy saw themselves . <eos>,The fathers said that the boy saw themselves .
1,embed,nonlocal,0,a,female,local_subj,number,girls,mother,saw,themselves,The girls said that the mother saw themselves . <eos>,The girls said that the mother saw themselves .
1,embed,nonlocal,0,b,female,local_subj,number,mothers,girl,saw,themselves,The mothers said that the girl saw themselves . <eos>,The mothers said that the girl saw themselves .
2,embed,local,1,a,male,none,none,boys,fathers,established,themselves,The boys said that the fathers established themselves . <eos>,The boys said that the fathers established themselves .
2,embed,local,1,b,male,none,none,fathers,boys,established,themselves,The fathers said that the boys established themselves . <eos>,The fathers said that the boys established themselves .
2,embed,local,1,a,female,none,none,girls,mothers,established,themselves,The girls said that the mothers established themselves . <eos>,The girls said that the mothers established themselves .
2,embed,local,1,b,female,none,none,mothers,girls,established,themselves,The mothers said that the girls established themselves . <eos>,The mothers said that the girls established themselves .
2,embed,local,1,a,male,nonlocal_subj,number,boy,fathers,established,themselves,The boy said that the fathers established themselves . <eos>,The boy said that the fathers established themselves .
2,embed,local,1,b,male,nonlocal_subj,number,father,boys,established,themselves,The father said that the boys established themselves . <eos>,The father said that the boys established themselves .
2,embed,local,1,a,female,nonlocal_subj,number,girl,mothers,established,themselves,The girl said that the mothers established themselves . <eos>,The girl said that the mothers established themselves .
2,embed,local,1,b,female,nonlocal_subj,number,mother,girls,established,themselves,The mother said that the girls established themselves . <eos>,The mother said that the girls established themselves .
2,embed,nonlocal,0,a,male,local_subj,number,boys,father,established,themselves,The boys said that the father established themselves . <eos>,The boys said that the father established themselves .
2,embed,nonlocal,0,b,male,local_subj,number,fathers,boy,established,themselves,The fathers said that the boy established themselves . <eos>,The fathers said that the boy established themselves .
2,embed,nonlocal,0,a,female,local_subj,number,girls,mother,established,themselves,The girls said that the mother established themselves . <eos>,The girls said that the mother established themselves .
2,embed,nonlocal,0,b,female,local_subj,number,mothers,girl,established,themselves,The mothers said that the girl established themselves . <eos>,The mothers said that the girl established themselves .
3,embed,local,1,a,male,none,none,boys,fathers,devoted,themselves,The boys said that the fathers devoted themselves . <eos>,The boys said that the fathers devoted themselves .
3,embed,local,1,b,male,none,none,fathers,boys,devoted,themselves,The fathers said that the boys devoted themselves . <eos>,The fathers said that the boys devoted themselves .
3,embed,local,1,a,female,none,none,girls,mothers,devoted,themselves,The girls said that the mothers devoted themselves . <eos>,The girls said that the mothers devoted themselves .
3,embed,local,1,b,female,none,none,mothers,girls,devoted,themselves,The mothers said that the girls devoted themselves . <eos>,The mothers said that the girls devoted themselves .
3,embed,local,1,a,male,nonlocal_subj,number,boy,fathers,devoted,themselves,The boy said that the fathers devoted themselves . <eos>,The boy said that the fathers devoted themselves .
3,embed,local,1,b,male,nonlocal_subj,number,father,boys,devoted,themselves,The father said that the boys devoted themselves . <eos>,The father said that the boys devoted themselves .
3,embed,local,1,a,female,nonlocal_subj,number,girl,mothers,devoted,themselves,The girl said that the mothers devoted themselves . <eos>,The girl said that the mothers devoted themselves .
3,embed,local,1,b,female,nonlocal_subj,number,mother,girls,devoted,themselves,The mother said that the girls devoted themselves . <eos>,The mother said that the girls devoted themselves .
3,embed,nonlocal,0,a,male,local_subj,number,boys,father,devoted,themselves,The boys said that the father devoted themselves . <eos>,The boys said that the father devoted themselves .
3,embed,nonlocal,0,b,male,local_subj,number,fathers,boy,devoted,themselves,The fathers said that the boy devoted themselves . <eos>,The fathers said that the boy devoted themselves .
3,embed,nonlocal,0,a,female,local_subj,number,girls,mother,devoted,themselves,The girls said that the mother devoted themselves . <eos>,The girls said that the mother devoted themselves .
3,embed,nonlocal,0,b,female,local_subj,number,mothers,girl,devoted,themselves,The mothers said that the girl devoted themselves . <eos>,The mothers said that the girl devoted themselves .
4,embed,local,1,a,male,none,none,boys,fathers,considered,themselves,The boys said that the fathers considered themselves . <eos>,The boys said that the fathers considered themselves .
4,embed,local,1,b,male,none,none,fathers,boys,considered,themselves,The fathers said that the boys considered themselves . <eos>,The fathers said that the boys considered themselves .
4,embed,local,1,a,female,none,none,girls,mothers,considered,themselves,The girls said that the mothers considered themselves . <eos>,The girls said that the mothers considered themselves .
4,embed,local,1,b,female,none,none,mothers,girls,considered,themselves,The mothers said that the girls considered themselves . <eos>,The mothers said that the girls considered themselves .
4,embed,local,1,a,male,nonlocal_subj,number,boy,fathers,considered,themselves,The boy said that the fathers considered themselves . <eos>,The boy said that the fathers considered themselves .
4,embed,local,1,b,male,nonlocal_subj,number,father,boys,considered,themselves,The father said that the boys considered themselves . <eos>,The father said that the boys considered themselves .
4,embed,local,1,a,female,nonlocal_subj,number,girl,mothers,considered,themselves,The girl said that the mothers considered themselves . <eos>,The girl said that the mothers considered themselves .
4,embed,local,1,b,female,nonlocal_subj,number,mother,girls,considered,themselves,The mother said that the girls considered themselves . <eos>,The mother said that the girls considered themselves .
4,embed,nonlocal,0,a,male,local_subj,number,boys,father,considered,themselves,The boys said that the father considered themselves . <eos>,The boys said that the father considered themselves .
4,embed,nonlocal,0,b,male,local_subj,number,fathers,boy,considered,themselves,The fathers said that the boy considered themselves . <eos>,The fathers said that the boy considered themselves .
4,embed,nonlocal,0,a,female,local_subj,number,girls,mother,considered,themselves,The girls said that the mother considered themselves . <eos>,The girls said that the mother considered themselves .
4,embed,nonlocal,0,b,female,local_subj,number,mothers,girl,considered,themselves,The mothers said that the girl considered themselves . <eos>,The mothers said that the girl considered themselves .
