item,rc_verb,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos
1,telephoned,embed,local,1,a,none,none,surgeon,sergeant,had admired,himself,The surgeon who the sergeant telephoned had admired himself . <eos>,The surgeon who the sergeant telephoned had admired himself .
1,telephoned,embed,local,1,b,none,none,sergeant,surgeon,had admired,himself,The sergeant who the surgeon telephoned had admired himself . <eos>,The sergeant who the surgeon telephoned had admired himself .
1,telephoned,embed,nonlocal,0,a,matrix_subj,gender,maid,surgeon,had admired,himself,The maid who the surgeon telephoned had admired himself . <eos>,The maid who the surgeon telephoned had admired himself .
1,telephoned,embed,nonlocal,0,b,matrix_subj,gender,maid,sergeant,had admired,himself,The maid who the sergeant telephoned had admired himself . <eos>,The maid who the sergeant telephoned had admired himself .
1,telephoned,embed,local,1,a,rc_subj,gender,surgeon,maid,had admired,himself,The surgeon who the maid telephoned had admired himself . <eos>,The surgeon who the maid telephoned had admired himself .
1,telephoned,embed,local,1,b,rc_subj,gender,sergeant,maid,had admired,himself,The sergeant who the maid telephoned had admired himself . <eos>,The sergeant who the maid telephoned had admired himself .
2,telephoned,embed,local,1,a,none,none,surgeon,sergeant,had convinced,himself,The surgeon who the sergeant telephoned had convinced himself . <eos>,The surgeon who the sergeant telephoned had convinced himself .
2,telephoned,embed,local,1,b,none,none,sergeant,surgeon,had convinced,himself,The sergeant who the surgeon telephoned had convinced himself . <eos>,The sergeant who the surgeon telephoned had convinced himself .
2,telephoned,embed,nonlocal,0,a,matrix_subj,gender,maid,surgeon,had convinced,himself,The maid who the surgeon telephoned had convinced himself . <eos>,The maid who the surgeon telephoned had convinced himself .
2,telephoned,embed,nonlocal,0,b,matrix_subj,gender,maid,sergeant,had convinced,himself,The maid who the sergeant telephoned had convinced himself . <eos>,The maid who the sergeant telephoned had convinced himself .
2,telephoned,embed,local,1,a,rc_subj,gender,surgeon,maid,had convinced,himself,The surgeon who the maid telephoned had convinced himself . <eos>,The surgeon who the maid telephoned had convinced himself .
2,telephoned,embed,local,1,b,rc_subj,gender,sergeant,maid,had convinced,himself,The sergeant who the maid telephoned had convinced himself . <eos>,The sergeant who the maid telephoned had convinced himself .
3,telephoned,embed,local,1,a,none,none,surgeon,sergeant,saw,himself,The surgeon who the sergeant telephoned saw himself . <eos>,The surgeon who the sergeant telephoned saw himself .
3,telephoned,embed,local,1,b,none,none,sergeant,surgeon,saw,himself,The sergeant who the surgeon telephoned saw himself . <eos>,The sergeant who the surgeon telephoned saw himself .
3,telephoned,embed,nonlocal,0,a,matrix_subj,gender,maid,surgeon,saw,himself,The maid who the surgeon telephoned saw himself . <eos>,The maid who the surgeon telephoned saw himself .
3,telephoned,embed,nonlocal,0,b,matrix_subj,gender,maid,sergeant,saw,himself,The maid who the sergeant telephoned saw himself . <eos>,The maid who the sergeant telephoned saw himself .
3,telephoned,embed,local,1,a,rc_subj,gender,surgeon,maid,saw,himself,The surgeon who the maid telephoned saw himself . <eos>,The surgeon who the maid telephoned saw himself .
3,telephoned,embed,local,1,b,rc_subj,gender,sergeant,maid,saw,himself,The sergeant who the maid telephoned saw himself . <eos>,The sergeant who the maid telephoned saw himself .
4,telephoned,embed,local,1,a,none,none,surgeon,sergeant,had blamed,himself,The surgeon who the sergeant telephoned had blamed himself . <eos>,The surgeon who the sergeant telephoned had blamed himself .
4,telephoned,embed,local,1,b,none,none,sergeant,surgeon,had blamed,himself,The sergeant who the surgeon telephoned had blamed himself . <eos>,The sergeant who the surgeon telephoned had blamed himself .
4,telephoned,embed,nonlocal,0,a,matrix_subj,gender,maid,surgeon,had blamed,himself,The maid who the surgeon telephoned had blamed himself . <eos>,The maid who the surgeon telephoned had blamed himself .
4,telephoned,embed,nonlocal,0,b,matrix_subj,gender,maid,sergeant,had blamed,himself,The maid who the sergeant telephoned had blamed himself . <eos>,The maid who the sergeant telephoned had blamed himself .
4,telephoned,embed,local,1,a,rc_subj,gender,surgeon,maid,had blamed,himself,The surgeon who the maid telephoned had blamed himself . <eos>,The surgeon who the maid telephoned had blamed himself .
4,telephoned,embed,local,1,b,rc_subj,gender,sergeant,maid,had blamed,himself,The sergeant who the maid telephoned had blamed himself . <eos>,The sergeant who the maid telephoned had blamed himself .
5,telephoned,embed,local,1,a,none,none,surgeon,sergeant,had cut,himself,The surgeon who the sergeant telephoned had cut himself . <eos>,The surgeon who the sergeant telephoned had cut himself .
5,telephoned,embed,local,1,b,none,none,sergeant,surgeon,had cut,himself,The sergeant who the surgeon telephoned had cut himself . <eos>,The sergeant who the surgeon telephoned had cut himself .
5,telephoned,embed,nonlocal,0,a,matrix_subj,gender,maid,surgeon,had cut,himself,The maid who the surgeon telephoned had cut himself . <eos>,The maid who the surgeon telephoned had cut himself .
5,telephoned,embed,nonlocal,0,b,matrix_subj,gender,maid,sergeant,had cut,himself,The maid who the sergeant telephoned had cut himself . <eos>,The maid who the sergeant telephoned had cut himself .
5,telephoned,embed,local,1,a,rc_subj,gender,surgeon,maid,had cut,himself,The surgeon who the maid telephoned had cut himself . <eos>,The surgeon who the maid telephoned had cut himself .
5,telephoned,embed,local,1,b,rc_subj,gender,sergeant,maid,had cut,himself,The sergeant who the maid telephoned had cut himself . <eos>,The sergeant who the maid telephoned had cut himself .
6,telephoned,embed,local,1,a,none,none,surgeon,sergeant,had amused,himself,The surgeon who the sergeant telephoned had amused himself . <eos>,The surgeon who the sergeant telephoned had amused himself .
6,telephoned,embed,local,1,b,none,none,sergeant,surgeon,had amused,himself,The sergeant who the surgeon telephoned had amused himself . <eos>,The sergeant who the surgeon telephoned had amused himself .
6,telephoned,embed,nonlocal,0,a,matrix_subj,gender,maid,surgeon,had amused,himself,The maid who the surgeon telephoned had amused himself . <eos>,The maid who the surgeon telephoned had amused himself .
6,telephoned,embed,nonlocal,0,b,matrix_subj,gender,maid,sergeant,had amused,himself,The maid who the sergeant telephoned had amused himself . <eos>,The maid who the sergeant telephoned had amused himself .
6,telephoned,embed,local,1,a,rc_subj,gender,surgeon,maid,had amused,himself,The surgeon who the maid telephoned had amused himself . <eos>,The surgeon who the maid telephoned had amused himself .
6,telephoned,embed,local,1,b,rc_subj,gender,sergeant,maid,had amused,himself,The sergeant who the maid telephoned had amused himself . <eos>,The sergeant who the maid telephoned had amused himself .
7,telephoned,embed,local,1,a,none,none,surgeon,sergeant,had hurt,himself,The surgeon who the sergeant telephoned had hurt himself . <eos>,The surgeon who the sergeant telephoned had hurt himself .
7,telephoned,embed,local,1,b,none,none,sergeant,surgeon,had hurt,himself,The sergeant who the surgeon telephoned had hurt himself . <eos>,The sergeant who the surgeon telephoned had hurt himself .
7,telephoned,embed,nonlocal,0,a,matrix_subj,gender,maid,surgeon,had hurt,himself,The maid who the surgeon telephoned had hurt himself . <eos>,The maid who the surgeon telephoned had hurt himself .
7,telephoned,embed,nonlocal,0,b,matrix_subj,gender,maid,sergeant,had hurt,himself,The maid who the sergeant telephoned had hurt himself . <eos>,The maid who the sergeant telephoned had hurt himself .
7,telephoned,embed,local,1,a,rc_subj,gender,surgeon,maid,had hurt,himself,The surgeon who the maid telephoned had hurt himself . <eos>,The surgeon who the maid telephoned had hurt himself .
7,telephoned,embed,local,1,b,rc_subj,gender,sergeant,maid,had hurt,himself,The sergeant who the maid telephoned had hurt himself . <eos>,The sergeant who the maid telephoned had hurt himself .
8,telephoned,embed,local,1,a,none,none,surgeon,sergeant,had taught,himself,The surgeon who the sergeant telephoned had taught himself . <eos>,The surgeon who the sergeant telephoned had taught himself .
8,telephoned,embed,local,1,b,none,none,sergeant,surgeon,had taught,himself,The sergeant who the surgeon telephoned had taught himself . <eos>,The sergeant who the surgeon telephoned had taught himself .
8,telephoned,embed,nonlocal,0,a,matrix_subj,gender,maid,surgeon,had taught,himself,The maid who the surgeon telephoned had taught himself . <eos>,The maid who the surgeon telephoned had taught himself .
8,telephoned,embed,nonlocal,0,b,matrix_subj,gender,maid,sergeant,had taught,himself,The maid who the sergeant telephoned had taught himself . <eos>,The maid who the sergeant telephoned had taught himself .
8,telephoned,embed,local,1,a,rc_subj,gender,surgeon,maid,had taught,himself,The surgeon who the maid telephoned had taught himself . <eos>,The surgeon who the maid telephoned had taught himself .
8,telephoned,embed,local,1,b,rc_subj,gender,sergeant,maid,had taught,himself,The sergeant who the maid telephoned had taught himself . <eos>,The sergeant who the maid telephoned had taught himself .
9,telephoned,embed,local,1,a,none,none,surgeon,sergeant,had introduced,himself,The surgeon who the sergeant telephoned had introduced himself . <eos>,The surgeon who the sergeant telephoned had introduced himself .
9,telephoned,embed,local,1,b,none,none,sergeant,surgeon,had introduced,himself,The sergeant who the surgeon telephoned had introduced himself . <eos>,The sergeant who the surgeon telephoned had introduced himself .
9,telephoned,embed,nonlocal,0,a,matrix_subj,gender,maid,surgeon,had introduced,himself,The maid who the surgeon telephoned had introduced himself . <eos>,The maid who the surgeon telephoned had introduced himself .
9,telephoned,embed,nonlocal,0,b,matrix_subj,gender,maid,sergeant,had introduced,himself,The maid who the sergeant telephoned had introduced himself . <eos>,The maid who the sergeant telephoned had introduced himself .
9,telephoned,embed,local,1,a,rc_subj,gender,surgeon,maid,had introduced,himself,The surgeon who the maid telephoned had introduced himself . <eos>,The surgeon who the maid telephoned had introduced himself .
9,telephoned,embed,local,1,b,rc_subj,gender,sergeant,maid,had introduced,himself,The sergeant who the maid telephoned had introduced himself . <eos>,The sergeant who the maid telephoned had introduced himself .
10,telephoned,embed,local,1,a,none,none,surgeon,sergeant,had enjoyed,himself,The surgeon who the sergeant telephoned had enjoyed himself . <eos>,The surgeon who the sergeant telephoned had enjoyed himself .
10,telephoned,embed,local,1,b,none,none,sergeant,surgeon,had enjoyed,himself,The sergeant who the surgeon telephoned had enjoyed himself . <eos>,The sergeant who the surgeon telephoned had enjoyed himself .
10,telephoned,embed,nonlocal,0,a,matrix_subj,gender,maid,surgeon,had enjoyed,himself,The maid who the surgeon telephoned had enjoyed himself . <eos>,The maid who the surgeon telephoned had enjoyed himself .
10,telephoned,embed,nonlocal,0,b,matrix_subj,gender,maid,sergeant,had enjoyed,himself,The maid who the sergeant telephoned had enjoyed himself . <eos>,The maid who the sergeant telephoned had enjoyed himself .
10,telephoned,embed,local,1,a,rc_subj,gender,surgeon,maid,had enjoyed,himself,The surgeon who the maid telephoned had enjoyed himself . <eos>,The surgeon who the maid telephoned had enjoyed himself .
10,telephoned,embed,local,1,b,rc_subj,gender,sergeant,maid,had enjoyed,himself,The sergeant who the maid telephoned had enjoyed himself . <eos>,The sergeant who the maid telephoned had enjoyed himself .
11,telephoned,embed,local,1,a,none,none,surgeon,sergeant,had prepared,himself,The surgeon who the sergeant telephoned had prepared himself . <eos>,The surgeon who the sergeant telephoned had prepared himself .
11,telephoned,embed,local,1,b,none,none,sergeant,surgeon,had prepared,himself,The sergeant who the surgeon telephoned had prepared himself . <eos>,The sergeant who the surgeon telephoned had prepared himself .
