item,clause_type,locality,grammatical,counterbalance,subject,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos
1,embed,nonlocal,1,a,male,none,none,boys,fathers,saw,them,The boys said that the fathers saw them . <eos>,The boys said that the fathers saw them .
1,embed,nonlocal,1,b,male,none,none,fathers,boys,saw,them,The fathers said that the boys saw them . <eos>,The fathers said that the boys saw them .
1,embed,local,0,a,female,none,none,girls,mothers,saw,them,The girls said that the mothers saw them . <eos>,The girls said that the mothers saw them .
1,embed,local,0,b,female,none,none,mothers,girls,saw,them,The mothers said that the girls saw them . <eos>,The mothers said that the girls saw them .
1,embed,nonlocal,1,a,male,nonlocal_subj,number,boy,fathers,saw,them,The boy said that the fathers saw them . <eos>,The boy said that the fathers saw them .
1,embed,nonlocal,1,b,male,nonlocal_subj,number,father,boys,saw,them,The father said that the boys saw them . <eos>,The father said that the boys saw them .
1,embed,nonlocal,1,a,female,nonlocal_subj,number,girl,mothers,saw,them,The girl said that the mothers saw them . <eos>,The girl said that the mothers saw them .
1,embed,nonlocal,1,b,female,nonlocal_subj,number,mother,girls,saw,them,The mother said that the girls saw them . <eos>,The mother said that the girls saw them .
1,embed,local,0,a,male,local_subj,number,boys,father,saw,them,The boys said that the father saw them . <eos>,The boys said that the father saw them .
1,embed,local,0,b,male,local_subj,number,fathers,boy,saw,them,The fathers said that the boy saw them . <eos>,The fathers said that the boy saw them .
1,embed,nonlocal,1,a,female,local_subj,number,girls,mother,saw,them,The girls said that the mother saw them . <eos>,The girls said that the mother saw them .
1,embed,nonlocal,1,b,female,local_subj,number,mothers,girl,saw,them,The mothers said that the girl saw them . <eos>,The mothers said that the girl saw them .
2,embed,nonlocal,1,a,male,none,none,boys,fathers,established,them,The boys said that the fathers established them . <eos>,The boys said that the fathers established them .
2,embed,nonlocal,1,b,male,none,none,fathers,boys,established,them,The fathers said that the boys established them . <eos>,The fathers said that the boys established them .
2,embed,local,0,a,female,none,none,girls,mothers,established,them,The girls said that the mothers established them . <eos>,The girls said that the mothers established them .
2,embed,local,0,b,female,none,none,mothers,girls,established,them,The mothers said that the girls established them . <eos>,The mothers said that the girls established them .
2,embed,nonlocal,1,a,male,nonlocal_subj,number,boy,fathers,established,them,The boy said that the fathers established them . <eos>,The boy said that the fathers established them .
2,embed,nonlocal,1,b,male,nonlocal_subj,number,father,boys,established,them,The father said that the boys established them . <eos>,The father said that the boys established them .
2,embed,nonlocal,1,a,female,nonlocal_subj,number,girl,mothers,established,them,The girl said that the mothers established them . <eos>,The girl said that the mothers established them .
2,embed,nonlocal,1,b,female,nonlocal_subj,number,mother,girls,established,them,The mother said that the girls established them . <eos>,The mother said that the girls established them .
2,embed,local,0,a,male,local_subj,number,boys,father,established,them,The boys said that the father established them . <eos>,The boys said that the father established them .
2,embed,local,0,b,male,local_subj,number,fathers,boy,established,them,The fathers said that the boy established them . <eos>,The fathers said that the boy established them .
2,embed,nonlocal,1,a,female,local_subj,number,girls,mother,established,them,The girls said that the mother established them . <eos>,The girls said that the mother established them .
2,embed,nonlocal,1,b,female,local_subj,number,mothers,girl,established,them,The mothers said that the girl established them . <eos>,The mothers said that the girl established them .
3,embed,nonlocal,1,a,male,none,none,boys,fathers,devoted,them,The boys said that the fathers devoted them . <eos>,The boys said that the fathers devoted them .
3,embed,nonlocal,1,b,male,none,none,fathers,boys,devoted,them,The fathers said that the boys devoted them . <eos>,The fathers said that the boys devoted them .
3,embed,local,0,a,female,none,none,girls,mothers,devoted,them,The girls said that the mothers devoted them . <eos>,The girls said that the mothers devoted them .
3,embed,local,0,b,female,none,none,mothers,girls,devoted,them,The mothers said that the girls devoted them . <eos>,The mothers said that the girls devoted them .
3,embed,nonlocal,1,a,male,nonlocal_subj,number,boy,fathers,devoted,them,The boy said that the fathers devoted them . <eos>,The boy said that the fathers devoted them .
3,embed,nonlocal,1,b,male,nonlocal_subj,number,father,boys,devoted,them,The father said that the boys devoted them . <eos>,The father said that the boys devoted them .
3,embed,nonlocal,1,a,female,nonlocal_subj,number,girl,mothers,devoted,them,The girl said that the mothers devoted them . <eos>,The girl said that the mothers devoted them .
3,embed,nonlocal,1,b,female,nonlocal_subj,number,mother,girls,devoted,them,The mother said that the girls devoted them . <eos>,The mother said that the girls devoted them .
3,embed,local,0,a,male,local_subj,number,boys,father,devoted,them,The boys said that the father devoted them . <eos>,The boys said that the father devoted them .
3,embed,local,0,b,male,local_subj,number,fathers,boy,devoted,them,The fathers said that the boy devoted them . <eos>,The fathers said that the boy devoted them .
3,embed,nonlocal,1,a,female,local_subj,number,girls,mother,devoted,them,The girls said that the mother devoted them . <eos>,The girls said that the mother devoted them .
3,embed,nonlocal,1,b,female,local_subj,number,mothers,girl,devoted,them,The mothers said that the girl devoted them . <eos>,The mothers said that the girl devoted them .
4,embed,nonlocal,1,a,male,none,none,boys,fathers,considered,them,The boys said that the fathers considered them . <eos>,The boys said that the fathers considered them .
4,embed,nonlocal,1,b,male,none,none,fathers,boys,considered,them,The fathers said that the boys considered them . <eos>,The fathers said that the boys considered them .
4,embed,local,0,a,female,none,none,girls,mothers,considered,them,The girls said that the mothers considered them . <eos>,The girls said that the mothers considered them .
4,embed,local,0,b,female,none,none,mothers,girls,considered,them,The mothers said that the girls considered them . <eos>,The mothers said that the girls considered them .
4,embed,nonlocal,1,a,male,nonlocal_subj,number,boy,fathers,considered,them,The boy said that the fathers considered them . <eos>,The boy said that the fathers considered them .
4,embed,nonlocal,1,b,male,nonlocal_subj,number,father,boys,considered,them,The father said that the boys considered them . <eos>,The father said that the boys considered them .
4,embed,nonlocal,1,a,female,nonlocal_subj,number,girl,mothers,considered,them,The girl said that the mothers considered them . <eos>,The girl said that the mothers considered them .
4,embed,nonlocal,1,b,female,nonlocal_subj,number,mother,girls,considered,them,The mother said that the girls considered them . <eos>,The mother said that the girls considered them .
4,embed,local,0,a,male,local_subj,number,boys,father,considered,them,The boys said that the father considered them . <eos>,The boys said that the father considered them .
4,embed,local,0,b,male,local_subj,number,fathers,boy,considered,them,The fathers said that the boy considered them . <eos>,The fathers said that the boy considered them .
4,embed,nonlocal,1,a,female,local_subj,number,girls,mother,considered,them,The girls said that the mother considered them . <eos>,The girls said that the mother considered them .
4,embed,nonlocal,1,b,female,local_subj,number,mothers,girl,considered,them,The mothers said that the girl considered them . <eos>,The mothers said that the girl considered them .
5,embed,nonlocal,1,a,male,none,none,boys,fathers,identified,them,The boys said that the fathers identified them . <eos>,The boys said that the fathers identified them .
5,embed,nonlocal,1,b,male,none,none,fathers,boys,identified,them,The fathers said that the boys identified them . <eos>,The fathers said that the boys identified them .
5,embed,local,0,a,female,none,none,girls,mothers,identified,them,The girls said that the mothers identified them . <eos>,The girls said that the mothers identified them .
5,embed,local,0,b,female,none,none,mothers,girls,identified,them,The mothers said that the girls identified them . <eos>,The mothers said that the girls identified them .
5,embed,nonlocal,1,a,male,nonlocal_subj,number,boy,fathers,identified,them,The boy said that the fathers identified them . <eos>,The boy said that the fathers identified them .
5,embed,nonlocal,1,b,male,nonlocal_subj,number,father,boys,identified,them,The father said that the boys identified them . <eos>,The father said that the boys identified them .
5,embed,nonlocal,1,a,female,nonlocal_subj,number,girl,mothers,identified,them,The girl said that the mothers identified them . <eos>,The girl said that the mothers identified them .
5,embed,nonlocal,1,b,female,nonlocal_subj,number,mother,girls,identified,them,The mother said that the girls identified them . <eos>,The mother said that the girls identified them .
5,embed,local,0,a,male,local_subj,number,boys,father,identified,them,The boys said that the father identified them . <eos>,The boys said that the father identified them .
5,embed,local,0,b,male,local_subj,number,fathers,boy,identified,them,The fathers said that the boy identified them . <eos>,The fathers said that the boy identified them .
5,embed,nonlocal,1,a,female,local_subj,number,girls,mother,identified,them,The girls said that the mother identified them . <eos>,The girls said that the mother identified them .
