,item,clause_type,locality,c-command,grammatical,counterbalance,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
0,1,simple,local,c-command,1,a,none,none,boy,father,saw,himself,The boy near the father saw himself . <eos>,The boy near the father saw himself .,the boy near the father saw ***mask*** .,10.259586150307095
1,1,simple,local,c-command,1,b,none,none,father,boy,saw,himself,The father near the boy saw himself . <eos>,The father near the boy saw himself .,the father near the boy saw ***mask*** .,10.44234699524189
2,1,simple,local,no-c-command,0,a,head,number,boys,father,saw,himself,The boys near the father saw himself . <eos>,The boys near the father saw himself .,the boys near the father saw ***mask*** .,13.096062914063085
3,1,simple,local,no-c-command,0,b,head,number,fathers,boy,saw,himself,The fathers near the boy saw himself . <eos>,The fathers near the boy saw himself .,the fathers near the boy saw ***mask*** .,12.515924508114658
4,1,simple,local,c-command,1,a,distractor,number,boy,fathers,saw,himself,The boy near the fathers saw himself . <eos>,The boy near the fathers saw himself .,the boy near the fathers saw ***mask*** .,10.191171399028045
5,1,simple,local,c-command,1,b,distractor,number,father,boys,saw,himself,The father near the boys saw himself . <eos>,The father near the boys saw himself .,the father near the boys saw ***mask*** .,11.430708402238828
6,2,simple,local,c-command,1,a,none,none,boy,father,established,himself,The boy near the father established himself . <eos>,The boy near the father established himself .,the boy near the father established ***mask*** .,4.37890581834293
7,2,simple,local,c-command,1,b,none,none,father,boy,established,himself,The father near the boy established himself . <eos>,The father near the boy established himself .,the father near the boy established ***mask*** .,3.5939791628742057
8,2,simple,local,no-c-command,0,a,head,number,boys,father,established,himself,The boys near the father established himself . <eos>,The boys near the father established himself .,the boys near the father established ***mask*** .,6.964611885167692
9,2,simple,local,no-c-command,0,b,head,number,fathers,boy,established,himself,The fathers near the boy established himself . <eos>,The fathers near the boy established himself .,the fathers near the boy established ***mask*** .,6.166553279815489
10,2,simple,local,c-command,1,a,distractor,number,boy,fathers,established,himself,The boy near the fathers established himself . <eos>,The boy near the fathers established himself .,the boy near the fathers established ***mask*** .,2.6925492944278915
11,2,simple,local,c-command,1,b,distractor,number,father,boys,established,himself,The father near the boys established himself . <eos>,The father near the boys established himself .,the father near the boys established ***mask*** .,4.049399608885081
12,3,simple,local,c-command,1,a,none,none,boy,father,devoted,himself,The boy near the father devoted himself . <eos>,The boy near the father devoted himself .,the boy near the father devoted ***mask*** .,3.1424455849065307
13,3,simple,local,c-command,1,b,none,none,father,boy,devoted,himself,The father near the boy devoted himself . <eos>,The father near the boy devoted himself .,the father near the boy devoted ***mask*** .,5.482461198829922
14,3,simple,local,no-c-command,0,a,head,number,boys,father,devoted,himself,The boys near the father devoted himself . <eos>,The boys near the father devoted himself .,the boys near the father devoted ***mask*** .,10.086312633832168
15,3,simple,local,no-c-command,0,b,head,number,fathers,boy,devoted,himself,The fathers near the boy devoted himself . <eos>,The fathers near the boy devoted himself .,the fathers near the boy devoted ***mask*** .,9.850471639633524
16,3,simple,local,c-command,1,a,distractor,number,boy,fathers,devoted,himself,The boy near the fathers devoted himself . <eos>,The boy near the fathers devoted himself .,the boy near the fathers devoted ***mask*** .,1.2754001760056404
17,3,simple,local,c-command,1,b,distractor,number,father,boys,devoted,himself,The father near the boys devoted himself . <eos>,The father near the boys devoted himself .,the father near the boys devoted ***mask*** .,2.5893069538874123
18,4,simple,local,c-command,1,a,none,none,boy,father,considered,himself,The boy near the father considered himself . <eos>,The boy near the father considered himself .,the boy near the father considered ***mask*** .,10.085346530003475
19,4,simple,local,c-command,1,b,none,none,father,boy,considered,himself,The father near the boy considered himself . <eos>,The father near the boy considered himself .,the father near the boy considered ***mask*** .,10.608534027893336
20,4,simple,local,no-c-command,0,a,head,number,boys,father,considered,himself,The boys near the father considered himself . <eos>,The boys near the father considered himself .,the boys near the father considered ***mask*** .,13.145100997466688
21,4,simple,local,no-c-command,0,b,head,number,fathers,boy,considered,himself,The fathers near the boy considered himself . <eos>,The fathers near the boy considered himself .,the fathers near the boy considered ***mask*** .,13.624258685515136
22,4,simple,local,c-command,1,a,distractor,number,boy,fathers,considered,himself,The boy near the fathers considered himself . <eos>,The boy near the fathers considered himself .,the boy near the fathers considered ***mask*** .,10.126481164608107
23,4,simple,local,c-command,1,b,distractor,number,father,boys,considered,himself,The father near the boys considered himself . <eos>,The father near the boys considered himself .,the father near the boys considered ***mask*** .,10.979279419016203
24,5,simple,local,c-command,1,a,none,none,boy,father,identified,himself,The boy near the father identified himself . <eos>,The boy near the father identified himself .,the boy near the father identified ***mask*** .,1.3939638865570403
25,5,simple,local,c-command,1,b,none,none,father,boy,identified,himself,The father near the boy identified himself . <eos>,The father near the boy identified himself .,the father near the boy identified ***mask*** .,1.047470953706246
26,5,simple,local,no-c-command,0,a,head,number,boys,father,identified,himself,The boys near the father identified himself . <eos>,The boys near the father identified himself .,the boys near the father identified ***mask*** .,5.934022854172774
