,item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
0,1,embed,local,1,a,none,none,mechanics,authors,hurt,themselves,The mechanics said that the authors hurt themselves . <eos>,The mechanics said that the authors hurt themselves .,the mechanics said that the authors hurt ***mask*** .,3.4853244667278145
1,1,embed,local,1,b,none,none,authors,mechanics,hurt,themselves,The authors said that the mechanics hurt themselves . <eos>,The authors said that the mechanics hurt themselves .,the authors said that the mechanics hurt ***mask*** .,5.702020943681304
2,1,embed,local,1,c,none,none,bankers,authors,hurt,themselves,The bankers said that the authors hurt themselves . <eos>,The bankers said that the authors hurt themselves .,the bankers said that the authors hurt ***mask*** .,3.420434536948712
3,1,embed,local,1,d,none,none,authors,bankers,hurt,themselves,The authors said that the bankers hurt themselves . <eos>,The authors said that the bankers hurt themselves .,the authors said that the bankers hurt ***mask*** .,3.5626718226506777
4,1,embed,nonlocal,0,a,local_subj,number,mechanics,author,hurt,themselves,The mechanics said that the author hurt themselves . <eos>,The mechanics said that the author hurt themselves .,the mechanics said that the author hurt ***mask*** .,6.083115538697592
5,1,embed,nonlocal,0,b,local_subj,number,authors,mechanic,hurt,themselves,The authors said that the mechanic hurt themselves . <eos>,The authors said that the mechanic hurt themselves .,the authors said that the mechanic hurt ***mask*** .,7.156069846197638
6,1,embed,nonlocal,0,c,local_subj,number,bankers,author,hurt,themselves,The bankers said that the author hurt themselves . <eos>,The bankers said that the author hurt themselves .,the bankers said that the author hurt ***mask*** .,6.2084346583011145
7,1,embed,nonlocal,0,d,local_subj,number,authors,banker,hurt,themselves,The authors said that the banker hurt themselves . <eos>,The authors said that the banker hurt themselves .,the authors said that the banker hurt ***mask*** .,7.353940373469783
8,1,embed,local,1,a,nonlocal_subj,number,mechanic,authors,hurt,themselves,The mechanic said that the authors hurt themselves . <eos>,The mechanic said that the authors hurt themselves .,the mechanic said that the authors hurt ***mask*** .,3.4366952488884714
9,1,embed,local,1,b,nonlocal_subj,number,author,mechanics,hurt,themselves,The author said that the mechanics hurt themselves . <eos>,The author said that the mechanics hurt themselves .,the author said that the mechanics hurt ***mask*** .,6.568183111721586
10,1,embed,local,1,c,nonlocal_subj,number,banker,authors,hurt,themselves,The banker said that the authors hurt themselves . <eos>,The banker said that the authors hurt themselves .,the banker said that the authors hurt ***mask*** .,3.048612024091076
11,1,embed,local,1,d,nonlocal_subj,number,author,bankers,hurt,themselves,The author said that the bankers hurt themselves . <eos>,The author said that the bankers hurt themselves .,the author said that the bankers hurt ***mask*** .,5.3162906544133905
12,2,embed,local,1,a,none,none,mechanics,authors,injured,themselves,The mechanics said that the authors injured themselves . <eos>,The mechanics said that the authors injured themselves .,the mechanics said that the authors injured ***mask*** .,1.4090250343644173
13,2,embed,local,1,b,none,none,authors,mechanics,injured,themselves,The authors said that the mechanics injured themselves . <eos>,The authors said that the mechanics injured themselves .,the authors said that the mechanics injured ***mask*** .,2.1099330021981704
14,2,embed,local,1,c,none,none,bankers,authors,injured,themselves,The bankers said that the authors injured themselves . <eos>,The bankers said that the authors injured themselves .,the bankers said that the authors injured ***mask*** .,0.6005885482531303
15,2,embed,local,1,d,none,none,authors,bankers,injured,themselves,The authors said that the bankers injured themselves . <eos>,The authors said that the bankers injured themselves .,the authors said that the bankers injured ***mask*** .,0.5555593321521948
16,2,embed,nonlocal,0,a,local_subj,number,mechanics,author,injured,themselves,The mechanics said that the author injured themselves . <eos>,The mechanics said that the author injured themselves .,the mechanics said that the author injured ***mask*** .,7.714243628545429
17,2,embed,nonlocal,0,b,local_subj,number,authors,mechanic,injured,themselves,The authors said that the mechanic injured themselves . <eos>,The authors said that the mechanic injured themselves .,the authors said that the mechanic injured ***mask*** .,9.146203796073241
18,2,embed,nonlocal,0,c,local_subj,number,bankers,author,injured,themselves,The bankers said that the author injured themselves . <eos>,The bankers said that the author injured themselves .,the bankers said that the author injured ***mask*** .,7.174209296023806
19,2,embed,nonlocal,0,d,local_subj,number,authors,banker,injured,themselves,The authors said that the banker injured themselves . <eos>,The authors said that the banker injured themselves .,the authors said that the banker injured ***mask*** .,8.430578476005495
20,2,embed,local,1,a,nonlocal_subj,number,mechanic,authors,injured,themselves,The mechanic said that the authors injured themselves . <eos>,The mechanic said that the authors injured themselves .,the mechanic said that the authors injured ***mask*** .,1.6425376640500546
21,2,embed,local,1,b,nonlocal_subj,number,author,mechanics,injured,themselves,The author said that the mechanics injured themselves . <eos>,The author said that the mechanics injured themselves .,the author said that the mechanics injured ***mask*** .,2.497794366666805
22,2,embed,local,1,c,nonlocal_subj,number,banker,authors,injured,themselves,The banker said that the authors injured themselves . <eos>,The banker said that the authors injured themselves .,the banker said that the authors injured ***mask*** .,0.257017122604542
23,2,embed,local,1,d,nonlocal_subj,number,author,bankers,injured,themselves,The author said that the bankers injured themselves . <eos>,The author said that the bankers injured themselves .,the author said that the bankers injured ***mask*** .,1.648182826897936
