word sentid sentpos wlen surp entropy

The 0 0 3 2.306039810180664 3.3416643142700195
boy 0 1 3 8.590314865112305 7.817210674285889
near 0 2 4 10.314332962036133 5.132258415222168
the 0 3 3 1.0984067916870117 5.05657958984375
father 0 4 6 7.500186920166016 6.761331558227539
saw 0 5 3 7.4634504318237305 4.10112190246582
himself 0 6 7 4.125449180603027 4.307019233703613
. 0 7 1 4.152244567871094 3.422844886779785
The 1 0 3 2.306039810180664 3.3416643142700195
father 1 1 6 8.697731018066406 7.817210674285889
near 1 2 4 11.237010955810547 3.897420883178711
the 1 3 3 1.169637680053711 5.090319633483887
boy 1 4 3 7.822384834289551 6.986457824707031
saw 1 5 3 7.541136741638184 4.309230327606201
himself 1 6 7 4.68719482421875 4.377935886383057
. 1 7 1 4.058088302612305 3.550295114517212
The 2 0 3 2.306039810180664 3.3416643142700195
boys 2 1 4 8.241280555725098 7.817210674285889
near 2 2 4 9.459487915039062 4.65129280090332
the 2 3 3 1.300313949584961 5.662736892700195
father 2 4 6 8.754820823669434 6.770858287811279
saw 2 5 3 7.63112211227417 4.349717140197754
himself 2 6 7 5.530723571777344 4.517024993896484
. 2 7 1 4.133148193359375 3.514573335647583
The 3 0 3 2.306039810180664 3.3416643142700195
fathers 3 1 7 12.180408477783203 7.817210674285889
near 3 2 4 9.647265434265137 4.553546905517578
the 3 3 3 1.016993522644043 4.868068695068359
boy 3 4 3 9.02830982208252 6.713564872741699
saw 3 5 3 7.1077070236206055 4.836517333984375
himself 3 6 7 5.308930397033691 4.539385795593262
. 3 7 1 4.4473466873168945 3.7830708026885986
The 4 0 3 2.306039810180664 3.3416643142700195
boy 4 1 3 8.590314865112305 7.817210674285889
near 4 2 4 10.314332962036133 5.132258415222168
the 4 3 3 1.0984067916870117 5.05657958984375
fathers 4 4 7 12.060696601867676 6.761331558227539
saw 4 5 3 7.396353244781494 4.801362991333008
himself 4 6 7 4.9521379470825195 4.572783470153809
. 4 7 1 4.197089195251465 3.458258867263794
The 5 0 3 2.306039810180664 3.3416643142700195
father 5 1 6 8.697731018066406 7.817210674285889
near 5 2 4 11.237010955810547 3.897420883178711
the 5 3 3 1.169637680053711 5.090319633483887
boys 5 4 4 9.528325080871582 6.986457824707031
saw 5 5 3 8.60806655883789 2.379849910736084
himself 5 6 7 6.112750053405762 5.076882362365723
. 5 7 1 3.4578418731689453 3.4486827850341797
The 6 0 3 2.306039810180664 3.3416643142700195
boy 6 1 3 8.590314865112305 7.817210674285889
near 6 2 4 10.314332962036133 5.132258415222168
the 6 3 3 1.0984067916870117 5.05657958984375
father 6 4 6 7.500186920166016 6.761331558227539
established 6 5 11 10.08265495300293 4.10112190246582
himself 6 6 7 2.7167224884033203 3.2405734062194824
. 6 7 1 4.398454666137695 2.2458336353302
The 7 0 3 2.306039810180664 3.3416643142700195
father 7 1 6 8.697731018066406 7.817210674285889
near 7 2 4 11.237010955810547 3.897420883178711
the 7 3 3 1.169637680053711 5.090319633483887
boy 7 4 3 7.822384834289551 6.986457824707031
established 7 5 11 10.532378196716309 4.309230327606201
himself 7 6 7 2.779165267944336 3.269582509994507
. 7 7 1 4.263544082641602 2.0470166206359863
The 8 0 3 2.306039810180664 3.3416643142700195
boys 8 1 4 8.241280555725098 7.817210674285889
near 8 2 4 9.459487915039062 4.65129280090332
the 8 3 3 1.300313949584961 5.662736892700195
father 8 4 6 8.754820823669434 6.770858287811279
established 8 5 11 9.2880220413208 4.349717140197754
himself 8 6 7 4.0429792404174805 3.554975986480713
. 8 7 1 4.381376266479492 2.272047996520996
The 9 0 3 2.306039810180664 3.3416643142700195
fathers 9 1 7 12.180408477783203 7.817210674285889
near 9 2 4 9.647265434265137 4.553546905517578
the 9 3 3 1.016993522644043 4.868068695068359
boy 9 4 3 9.02830982208252 6.713564872741699
established 9 5 11 10.166267395019531 4.836517333984375
himself 9 6 7 3.6201963424682617 3.6222662925720215
. 9 7 1 4.58256721496582 2.1196770668029785
The 10 0 3 2.306039810180664 3.3416643142700195
boy 10 1 3 8.590314865112305 7.817210674285889
near 10 2 4 10.314332962036133 5.132258415222168
the 10 3 3 1.0984067916870117 5.05657958984375
