word sentid sentpos wlen surp entropy

The 0 0 3 2.306039810180664 3.3416643142700195
boys 0 1 4 8.241280555725098 7.817210674285889
near 0 2 4 9.459487915039062 4.65129280090332
the 0 3 3 1.300313949584961 5.662736892700195
fathers 0 4 7 11.377716064453125 6.770858287811279
saw 0 5 3 7.398031234741211 4.926764488220215
themselves 0 6 10 3.9912309646606445 4.6588850021362305
. 0 7 1 4.198819160461426 3.0007591247558594
The 1 0 3 2.306039810180664 3.3416643142700195
fathers 1 1 7 12.180408477783203 7.817210674285889
near 1 2 4 9.647265434265137 4.553546905517578
the 1 3 3 1.016993522644043 4.868068695068359
boys 1 4 4 9.292457580566406 6.713564872741699
saw 1 5 3 7.717302322387695 3.1252996921539307
themselves 1 6 10 4.022470474243164 4.899881362915039
. 1 7 1 3.844536781311035 2.845123052597046
The 2 0 3 2.306039810180664 3.3416643142700195
girls 2 1 5 8.388166427612305 7.817210674285889
near 2 2 4 9.285820007324219 4.68627405166626
the 2 3 3 1.291182518005371 5.6920857429504395
mothers 2 4 7 10.528359413146973 6.905466079711914
saw 2 5 3 8.064498901367188 4.7136006355285645
themselves 2 6 10 4.327954292297363 4.737979888916016
. 2 7 1 4.400215148925781 2.5859737396240234
The 3 0 3 2.306039810180664 3.3416643142700195
mothers 3 1 7 11.337051391601562 7.817210674285889
near 3 2 4 9.293792724609375 4.715195655822754
the 3 3 3 0.867711067199707 4.323671340942383
girls 3 4 5 7.920413970947266 6.927286624908447
saw 3 5 3 7.345847129821777 4.271945476531982
themselves 3 6 10 3.992168426513672 5.033048152923584
. 3 7 1 4.089286804199219 3.1164464950561523
The 4 0 3 2.306039810180664 3.3416643142700195
boy 4 1 3 8.590314865112305 7.817210674285889
near 4 2 4 10.314332962036133 5.132258415222168
the 4 3 3 1.0984067916870117 5.05657958984375
fathers 4 4 7 12.060696601867676 6.761331558227539
saw 4 5 3 7.396353244781494 4.801362991333008
themselves 4 6 10 6.191746711730957 4.572783470153809
. 4 7 1 3.875802993774414 3.336639881134033
The 5 0 3 2.306039810180664 3.3416643142700195
father 5 1 6 8.697731018066406 7.817210674285889
near 5 2 4 11.237010955810547 3.897420883178711
the 5 3 3 1.169637680053711 5.090319633483887
boys 5 4 4 9.528325080871582 6.986457824707031
saw 5 5 3 8.60806655883789 2.379849910736084
themselves 5 6 10 5.61439323425293 5.076882362365723
. 5 7 1 3.362550735473633 3.037938117980957
The 6 0 3 2.306039810180664 3.3416643142700195
girl 6 1 4 8.970712661743164 7.817210674285889
near 6 2 4 9.648153305053711 5.320638656616211
the 6 3 3 0.9487428665161133 4.595107078552246
mothers 6 4 7 11.127119064331055 6.68425178527832
saw 6 5 3 8.158798217773438 4.639684677124023
themselves 6 6 10 5.731376647949219 4.539669513702393
. 6 7 1 3.8660240173339844 2.815209150314331
The 7 0 3 2.306039810180664 3.3416643142700195
mother 7 1 6 8.625633239746094 7.817210674285889
near 7 2 4 10.675536155700684 4.490671157836914
the 7 3 3 1.2932052612304688 5.306643486022949
girls 7 4 5 8.906712532043457 6.893486499786377
saw 7 5 3 7.848456859588623 3.8104233741760254
themselves 7 6 10 5.656044006347656 4.853145599365234
. 7 7 1 3.7572193145751953 3.182965040206909
The 8 0 3 2.306039810180664 3.3416643142700195
boys 8 1 4 8.241280555725098 7.817210674285889
near 8 2 4 9.459487915039062 4.65129280090332
the 8 3 3 1.300313949584961 5.662736892700195
father 8 4 6 8.754820823669434 6.770858287811279
saw 8 5 3 7.63112211227417 4.349717140197754
themselves 8 6 10 4.363221168518066 4.517024993896484
. 8 7 1 4.050336837768555 3.248090982437134
The 9 0 3 2.306039810180664 3.3416643142700195
fathers 9 1 7 12.180408477783203 7.817210674285889
near 9 2 4 9.647265434265137 4.553546905517578
the 9 3 3 1.016993522644043 4.868068695068359
boy 9 4 3 9.02830982208252 6.713564872741699
saw 9 5 3 7.1077070236206055 4.836517333984375
themselves 9 6 10 4.740046501159668 4.539385795593262
. 9 7 1 4.276810646057129 3.46455717086792
The 10 0 3 2.306039810180664 3.3416643142700195
girls 10 1 5 8.388166427612305 7.817210674285889
near 10 2 4 9.285820007324219 4.68627405166626
