word sentid sentpos wlen surp entropy

The 0 0 3 2.306039810180664 3.3416643142700195
girl 0 1 4 8.970712661743164 7.817210674285889
said 0 2 4 6.183923721313477 5.320638656616211
that 0 3 4 1.2697219848632812 3.0355706214904785
the 0 4 3 2.375685691833496 3.6735928058624268
mother 0 5 6 5.797557830810547 7.440415382385254
saw 0 6 3 7.396421432495117 4.289615631103516
herself 0 7 7 4.504138946533203 3.8526511192321777
. 0 8 1 4.025649070739746 3.1111953258514404
The 1 0 3 2.306039810180664 3.3416643142700195
mother 1 1 6 8.625633239746094 7.817210674285889
said 1 2 4 6.045729637145996 4.490671157836914
that 1 3 4 1.2146806716918945 2.9946889877319336
the 1 4 3 2.285585403442383 3.696439027786255
girl 1 5 4 5.682855606079102 7.409945487976074
saw 1 6 3 7.4749040603637695 4.327751636505127
herself 1 7 7 4.780020713806152 3.7068991661071777
. 1 8 1 4.449273109436035 3.454434394836426
The 2 0 3 2.306039810180664 3.3416643142700195
girls 2 1 5 8.388166427612305 7.817210674285889
said 2 2 4 7.102930068969727 4.68627405166626
that 2 3 4 0.9855031967163086 3.1688714027404785
the 2 4 3 1.751542091369629 4.50934362411499
mother 2 5 6 6.956374168395996 7.534027099609375
saw 2 6 3 7.554496765136719 4.3361101150512695
herself 2 7 7 4.952374458312988 4.149530410766602
. 2 8 1 4.207001686096191 3.0788426399230957
The 3 0 3 2.306039810180664 3.3416643142700195
mothers 3 1 7 11.337051391601562 7.817210674285889
said 3 2 4 7.158851623535156 4.715195655822754
that 3 3 4 1.1543540954589844 3.2807698249816895
the 3 4 3 1.8170394897460938 4.20098876953125
girl 3 5 4 5.880519866943359 7.487113952636719
saw 3 6 3 7.58674430847168 4.159090995788574
herself 3 7 7 5.168217658996582 4.018174648284912
. 3 8 1 4.274313926696777 3.6193771362304688
The 4 0 3 2.306039810180664 3.3416643142700195
girl 4 1 4 8.970712661743164 7.817210674285889
said 4 2 4 6.183923721313477 5.320638656616211
that 4 3 4 1.2697219848632812 3.0355706214904785
the 4 4 3 2.375685691833496 3.6735928058624268
mothers 4 5 7 8.593162536621094 7.440415382385254
saw 4 6 3 7.445534706115723 4.431800842285156
herself 4 7 7 5.930723190307617 4.193302631378174
. 4 8 1 4.110008239746094 3.08235764503479
The 5 0 3 2.306039810180664 3.3416643142700195
mother 5 1 6 8.625633239746094 7.817210674285889
said 5 2 4 6.045729637145996 4.490671157836914
that 5 3 4 1.2146806716918945 2.9946889877319336
the 5 4 3 2.285585403442383 3.696439027786255
girls 5 5 5 6.0965728759765625 7.409945487976074
saw 5 6 3 6.961843490600586 4.023122787475586
herself 5 7 7 5.731969833374023 4.597288131713867
. 5 8 1 4.482298851013184 2.74697208404541
The 6 0 3 2.306039810180664 3.3416643142700195
girl 6 1 4 8.970712661743164 7.817210674285889
said 6 2 4 6.183923721313477 5.320638656616211
that 6 3 4 1.2697219848632812 3.0355706214904785
the 6 4 3 2.375685691833496 3.6735928058624268
mother 6 5 6 5.797557830810547 7.440415382385254
established 6 6 11 10.848785400390625 4.289615631103516
herself 6 7 7 3.0083837509155273 3.2905189990997314
. 6 8 1 3.9476852416992188 2.112354040145874
The 7 0 3 2.306039810180664 3.3416643142700195
mother 7 1 6 8.625633239746094 7.817210674285889
said 7 2 4 6.045729637145996 4.490671157836914
that 7 3 4 1.2146806716918945 2.9946889877319336
the 7 4 3 2.285585403442383 3.696439027786255
girl 7 5 4 5.682855606079102 7.409945487976074
established 7 6 11 11.135542869567871 4.327751636505127
herself 7 7 7 3.2531566619873047 3.871893882751465
. 7 8 1 4.311371803283691 2.560856342315674
The 8 0 3 2.306039810180664 3.3416643142700195
girls 8 1 5 8.388166427612305 7.817210674285889
said 8 2 4 7.102930068969727 4.68627405166626
that 8 3 4 0.9855031967163086 3.1688714027404785
the 8 4 3 1.751542091369629 4.50934362411499
mother 8 5 6 6.956374168395996 7.534027099609375
established 8 6 11 10.529812812805176 4.3361101150512695
herself 8 7 7 3.566706657409668 3.378241777420044
. 8 8 1 4.169200897216797 2.0268478393554688
The 9 0 3 2.306039810180664 3.3416643142700195
mothers 9 1 7 11.337051391601562 7.817210674285889
