word sentid sentpos wlen surp entropy

The 0 0 3 2.306039810180664 3.3416643142700195
mechanic 0 1 8 12.364774703979492 7.817210674285889
said 0 2 4 6.1800336837768555 5.344597816467285
that 0 3 4 1.2343511581420898 3.0953378677368164
the 0 4 3 1.7456512451171875 4.1943440437316895
author 0 5 6 7.841313362121582 7.578123092651367
hurt 0 6 4 11.151174545288086 4.279547214508057
himself 0 7 7 4.2843170166015625 3.977017879486084
. 0 8 1 2.743885040283203 3.293191432952881
The 1 0 3 2.306039810180664 3.3416643142700195
author 1 1 6 7.728640556335449 7.817210674285889
said 1 2 4 5.029967308044434 4.766490459442139
that 1 3 4 0.9657726287841797 2.6611664295196533
the 1 4 3 1.6744298934936523 4.568228244781494
mechanic 1 5 8 12.956707000732422 7.157641410827637
hurt 1 6 4 9.924484252929688 4.570377349853516
himself 1 7 7 4.4605302810668945 4.086727619171143
. 1 8 1 2.947506904602051 3.1995115280151367
The 2 0 3 2.306039810180664 3.3416643142700195
banker 2 1 6 11.533583641052246 7.817210674285889
said 2 2 4 6.018303871154785 5.451910018920898
that 2 3 4 1.123377799987793 3.031277894973755
the 2 4 3 1.5938034057617188 4.300219535827637
author 2 5 6 8.062047958374023 7.577747821807861
hurt 2 6 4 11.548112869262695 4.177733421325684
himself 2 7 7 4.192051887512207 3.9771296977996826
. 2 8 1 2.591808319091797 3.1988062858581543
The 3 0 3 2.306039810180664 3.3416643142700195
author 3 1 6 7.728640556335449 7.817210674285889
said 3 2 4 5.029967308044434 4.766490459442139
that 3 3 4 0.9657726287841797 2.6611664295196533
the 3 4 3 1.6744298934936523 4.568228244781494
banker 3 5 6 11.84013557434082 7.157641410827637
hurt 3 6 4 10.154958724975586 4.85877799987793
himself 3 7 7 4.286192893981934 4.017271995544434
. 3 8 1 2.7475013732910156 3.1548447608947754
The 4 0 3 2.306039810180664 3.3416643142700195
mechanics 4 1 9 10.808030128479004 7.817210674285889
said 4 2 4 7.628450393676758 3.304558753967285
that 4 3 4 0.4916248321533203 2.1239266395568848
the 4 4 3 1.2906064987182617 4.535773277282715
author 4 5 6 7.827775955200195 7.830937385559082
hurt 4 6 4 12.094974517822266 4.560628414154053
himself 4 7 7 4.3109941482543945 3.8794655799865723
. 4 8 1 2.8917198181152344 3.2408084869384766
The 5 0 3 2.306039810180664 3.3416643142700195
authors 5 1 7 8.023263931274414 7.817210674285889
said 5 2 4 4.900346755981445 5.306082248687744
that 5 3 4 0.7025423049926758 2.6273128986358643
the 5 4 3 1.2881135940551758 4.610548973083496
mechanic 5 5 8 12.88181209564209 7.480902194976807
hurt 5 6 4 10.183293342590332 4.660403728485107
himself 5 7 7 4.611715316772461 4.214733123779297
. 5 8 1 2.9265518188476562 3.259282112121582
The 6 0 3 2.306039810180664 3.3416643142700195
bankers 6 1 7 11.87026596069336 7.817210674285889
said 6 2 4 5.690576553344727 5.360554218292236
that 6 3 4 0.7705078125 2.722195625305176
the 6 4 3 1.1719789505004883 4.362530708312988
author 6 5 6 8.857534408569336 7.507014274597168
hurt 6 6 4 11.771312713623047 4.116844177246094
himself 6 7 7 4.453762054443359 3.9950530529022217
. 6 8 1 2.4845800399780273 3.21057391166687
The 7 0 3 2.306039810180664 3.3416643142700195
authors 7 1 7 8.023263931274414 7.817210674285889
said 7 2 4 4.900346755981445 5.306082248687744
that 7 3 4 0.7025423049926758 2.6273128986358643
the 7 4 3 1.2881135940551758 4.610548973083496
banker 7 5 6 11.949516296386719 7.480902194976807
hurt 7 6 4 10.040006637573242 4.8891377449035645
himself 7 7 7 4.395419120788574 4.2614593505859375
. 7 8 1 2.7106428146362305 3.217294216156006
The 8 0 3 2.306039810180664 3.3416643142700195
mechanic 8 1 8 12.364774703979492 7.817210674285889
said 8 2 4 6.1800336837768555 5.344597816467285
that 8 3 4 1.2343511581420898 3.0953378677368164
the 8 4 3 1.7456512451171875 4.1943440437316895
authors 8 5 7 9.351007461547852 7.578123092651367
hurt 8 6 4 11.16446304321289 4.736350059509277
himself 8 7 7 6.549332618713379 4.4053239822387695
. 8 8 1 2.3887062072753906 3.251617908477783
The 9 0 3 2.306039810180664 3.3416643142700195
