word sentid sentpos wlen surp entropy

The 0 0 3 2.306039810180664 3.3416643142700195
boys 0 1 4 8.241280555725098 7.817210674285889
that 0 2 4 7.074023246765137 4.65129280090332
the 0 3 3 3.1424474716186523 6.321168422698975
fathers 0 4 7 8.545624732971191 7.768738269805908
liked 0 5 5 8.193253517150879 4.887079238891602
saw 0 6 3 8.75155258178711 3.4490933418273926
themselves 0 7 10 5.251595497131348 4.6449174880981445
. 0 8 1 2.994922637939453 5.001678466796875
The 1 0 3 2.306039810180664 3.3416643142700195
fathers 1 1 7 12.180408477783203 7.817210674285889
that 1 2 4 5.831064224243164 4.553546905517578
the 1 3 3 2.9086532592773438 6.192134380340576
boys 1 4 4 6.171581745147705 7.674856185913086
liked 1 5 5 7.434748649597168 4.6888532638549805
saw 1 6 3 9.127876281738281 3.638115167617798
themselves 1 7 10 4.88131046295166 4.788575172424316
. 1 8 1 3.366705894470215 4.934000015258789
The 2 0 3 2.306039810180664 3.3416643142700195
girls 2 1 5 8.388166427612305 7.817210674285889
that 2 2 4 6.8478803634643555 4.68627405166626
the 2 3 3 3.239687919616699 6.329714775085449
mothers 2 4 7 8.771206855773926 7.732990264892578
liked 2 5 5 8.198674201965332 5.109769821166992
saw 2 6 3 8.830235481262207 3.349775791168213
themselves 2 7 10 5.393505096435547 4.696623802185059
. 2 8 1 2.9551753997802734 5.139422416687012
The 3 0 3 2.306039810180664 3.3416643142700195
mothers 3 1 7 11.337051391601562 7.817210674285889
that 3 2 4 5.6948347091674805 4.715195655822754
the 3 3 3 3.5124645233154297 5.777543067932129
girls 3 4 5 4.99824333190918 7.255380630493164
liked 3 5 5 7.525824546813965 4.780213356018066
saw 3 6 3 8.662080764770508 3.6538400650024414
themselves 3 7 10 5.277583122253418 4.265252113342285
. 3 8 1 2.7432594299316406 4.582310676574707
The 4 0 3 2.306039810180664 3.3416643142700195
boy 4 1 3 8.590314865112305 7.817210674285889
that 4 2 4 6.447863578796387 5.132258415222168
the 4 3 3 4.056417465209961 6.157556533813477
fathers 4 4 7 10.01197624206543 7.667795658111572
liked 4 5 5 7.83145809173584 5.221731185913086
saw 4 6 3 8.505241394042969 3.383307456970215
themselves 4 7 10 6.434659957885742 3.9403724670410156
. 4 8 1 3.350759506225586 3.8264522552490234
The 5 0 3 2.306039810180664 3.3416643142700195
father 5 1 6 8.697731018066406 7.817210674285889
that 5 2 4 7.384453773498535 3.897420883178711
the 5 3 3 2.923765182495117 6.056509017944336
boys 5 4 4 7.1102447509765625 7.77524471282959
liked 5 5 5 7.728772163391113 4.957338333129883
saw 5 6 3 10.407455444335938 3.882666826248169
themselves 5 7 10 5.423579216003418 4.72922420501709
. 5 8 1 2.11295223236084 4.010251045227051
The 6 0 3 2.306039810180664 3.3416643142700195
girl 6 1 4 8.970712661743164 7.817210674285889
that 6 2 4 6.091535568237305 5.320638656616211
the 6 3 3 3.9710569381713867 6.195224285125732
mothers 6 4 7 9.497734069824219 7.486612796783447
liked 6 5 5 7.926670074462891 5.352887153625488
saw 6 6 3 8.904672622680664 3.446643352508545
themselves 6 7 10 6.703080177307129 4.109845161437988
. 6 8 1 3.4579010009765625 3.9501712322235107
The 7 0 3 2.306039810180664 3.3416643142700195
mother 7 1 6 8.625633239746094 7.817210674285889
that 7 2 4 7.793363571166992 4.490671157836914
the 7 3 3 2.8953866958618164 5.981365203857422
girls 7 4 5 6.629193305969238 7.687294960021973
liked 7 5 5 7.833081245422363 4.7823896408081055
saw 7 6 3 9.916996002197266 3.785214424133301
themselves 7 7 10 5.256243705749512 4.613245010375977
. 7 8 1 1.9966754913330078 3.875192642211914
The 8 0 3 2.306039810180664 3.3416643142700195
boys 8 1 4 8.241280555725098 7.817210674285889
that 8 2 4 7.074023246765137 4.65129280090332
the 8 3 3 3.1424474716186523 6.321168422698975
father 8 4 6 6.970024108886719 7.768738269805908
liked 8 5 5 7.650687217712402 4.715847969055176
saw 8 6 3 8.912452697753906 3.6306374073028564
themselves 8 7 10 7.408217430114746 4.389463901519775
. 8 8 1 2.7484521865844727 4.865668773651123
The 9 0 3 2.306039810180664 3.3416643142700195
